  2.21	 -2.92
  2.53	 -2.82
  3.94	 -2.74
  4.88	 -2.74
  5.61	 -2.67
  5.82	 -2.62
 11.16	 -2.61
 11.94	 -2.59
 12.72	 -2.49
 12.94	 -2.43
 13.54	 -2.29
 15.06	 -2.26
 15.54	 -2.25
 17.97	 -2.24
 18.85	 -2.23
 19.72	 -2.20
 20.28	 -2.10
 22.13	 -2.08
 23.01	 -2.02
 23.51	 -2.00
 24.85	 -1.85
 26.63	 -1.80
 27.94	 -1.79
 29.17	 -1.76
 29.92	 -1.75
 30.82	 -1.75
 31.08	 -1.75
 32.20	 -1.71
 32.88	 -1.69
 33.68	 -1.69
 34.32	 -1.68
 34.69	 -1.65
 34.99	 -1.61
 35.03	 -1.59
 35.31	 -1.58
 35.73	 -1.57
 36.82	 -1.55
 37.30	 -1.51
 37.90	 -1.43
 38.03	 -1.37
 40.39	 -1.34
 41.90	 -1.29
 41.99	 -1.28
 43.90	 -1.25
 44.90	 -1.19
 45.73	 -1.16
 46.96	 -1.15
 47.36	 -1.12
 47.44	 -1.11
 51.62	 -1.10
 52.51	 -1.07
 52.95	 -1.07
 53.21	 -1.04
 55.18	 -1.04
 56.43	 -1.01
 57.57	 -1.01
 59.07	 -1.00
 59.33	 -1.00
 59.38	 -0.99
 59.91	 -0.99
 60.99	 -0.98
 61.64	 -0.98
 64.19	 -0.98
 64.89	 -0.95
 64.97	 -0.95
 66.29	 -0.94
 66.30	 -0.93
 66.68	 -0.92
 67.24	 -0.90
 69.96	 -0.85
 70.72	 -0.84
 71.90	 -0.81
 73.60	 -0.77
 74.91	 -0.63
 76.18	 -0.61
 76.84	 -0.60
 78.71	 -0.55
 79.35	 -0.53
 80.11	 -0.53
 80.51	 -0.49
 81.34	 -0.48
 81.37	 -0.47
 81.64	 -0.39
 82.13	 -0.31
 83.69	 -0.29
 84.59	 -0.28
 85.22	 -0.21
 86.48	 -0.20
 86.94	 -0.17
 88.47	 -0.16
 89.25	 -0.12
 89.69	  0.11
 90.51	  0.12
 94.62	  0.16
 95.38	  0.43
 95.63	  0.52
 95.83	  0.56
 97.95	  0.74
 98.77	  0.79
 99.54	  0.96
