  2.21  -2.59
  2.53  -1.69
  3.94  -1.55
  4.88  -1.80
  5.61  -0.21
  5.82   0.52
 11.16  -1.75
 11.94  -1.10
 12.72  -1.01
 12.94  -0.93
 13.54   0.43
 15.06  -1.28
 15.54  -1.65
 17.97   0.12
 18.85  -0.31
 19.72  -0.98
 20.28  -0.48
 22.13  -2.29
 23.01  -0.53
 23.51  -1.37
 24.85   0.96
 26.63  -1.76
 27.94  -0.95
 29.17  -0.95
 29.92  -1.00
 30.82   0.56
 31.08  -1.04
 32.20   0.11
 32.88  -0.53
 33.68  -1.75
 34.32  -1.69
 34.69  -2.08
 34.99  -2.49
 35.03  -0.90
 35.31  -1.12
 35.73  -0.39
 36.82  -1.29
 37.30   0.16
 37.90  -0.60
 38.03   0.79
 40.39  -2.61
 41.90  -1.04
 41.99  -2.24
 43.90  -0.98
 44.90  -1.34
 45.73  -1.85
 46.96  -2.02
 47.36  -1.75
 47.44  -0.98
 51.62  -0.29
 52.51  -2.25
 52.95  -0.92
 53.21  -2.92
 55.18  -1.71
 56.43  -0.99
 57.57  -0.63
 59.07  -1.07
 59.33  -0.99
 59.38  -1.16
 59.91  -1.00
 60.99  -0.61
 61.64  -1.61
 64.19  -1.59
 64.89  -0.47
 64.97  -2.43
 66.29  -1.43
 66.30  -2.82
 66.68  -2.74
 67.24  -1.15
 69.96  -0.17
 70.72  -1.58
 71.90  -2.67
 73.60  -0.81
 74.91   0.74
 76.18  -1.25
 76.84  -1.79
 78.71  -2.62
 79.35  -0.85
 80.11  -0.12
 80.51  -1.51
 81.34  -0.49
 81.37  -0.84
 81.64  -0.77
 82.13  -0.94
 83.69  -2.00
 84.59  -2.26
 85.22  -2.74
 86.48  -0.28
 86.94  -1.19
 88.47  -1.11
 89.25  -1.68
 89.69  -0.20
 90.51  -2.23
 94.62  -0.16
 95.38  -1.57
 95.63  -1.07
 95.83  -1.01
 97.95  -2.20
 98.77  -2.10
 99.54  -0.55
